Dataset,selectionSort,bubbleSort,insertionSort,quickSort,mergeSort,heapSort
3000,14.000000,13.000000,0.000000,1.000000,4.000000,2.000000
10000,152.000000,160.000000,0.000000,3.000000,9.000000,6.000000
30000,1334.000000,1373.000000,1.000000,8.000000,31.000000,19.000000
100000,14498.000000,8431.000000,1.000000,21.000000,130.000000,77.000000
300000,134267.000000,24650.000000,2.000000,62.000000,304.000000,207.000000
