Dataset,selectionSort,bubbleSort,insertionSort,quickSort,mergeSort,heapSort
3000,16.000000,63.000000,7.000000,1.000000,5.000000,1.000000
10000,154.000000,698.000000,90.000000,3.000000,15.000000,6.000000
30000,1532.000000,6579.000000,746.000000,9.000000,40.000000,18.000000
100000,14876.000000,75900.000000,11907.000000,56.000000,140.000000,66.000000
300000,147114.000000,671097.000000,87436.000000,110.000000,330.000000,229.000000
