Dataset,selectionSort,bubbleSort,insertionSort,quickSort,mergeSort,heapSort
3000,21.000000,90.000000,16.000000,1.000000,5.000000,1.000000
10000,144.000000,786.000000,169.000000,2.000000,10.000000,5.000000
30000,1373.000000,7267.000000,1502.000000,6.000000,28.000000,16.000000
100000,16188.000000,91052.000000,18317.000000,38.000000,144.000000,68.000000
300000,147709.000000,810364.000000,187898.000000,76.000000,350.000000,203.000000
